tempo,rpmEsquerdo,rpmDireito,corrente
5466,134.55,3.96,169.00
5489,68.00,113.38,169.00
5535,152.53,63.51,169.00
5559,73.71,114.12,169.00
5582,166.52,114.12,169.00
5606,83.90,57.34,169.00
5629,190.50,57.34,169.00
5653,86.89,105.74,169.00
5678,86.89,105.74,170.00
5704,64.03,61.45,170.00
5728,191.08,66.83,170.00
5751,191.08,66.83,170.00
5775,158.03,66.83,170.00
5798,158.03,54.68,170.00
5822,158.03,104.28,170.00
5846,49.77,104.28,170.00
5869,84.00,104.28,170.00
5894,84.00,48.43,170.00
5917,84.00,78.73,170.00
5941,84.00,78.73,170.00
5964,84.00,78.73,170.00
5988,84.00,41.79,170.00
6011,84.00,41.79,170.00
6035,84.00,62.71,170.00
6059,84.00,62.71,170.00
6082,84.00,62.71,170.00
6129,84.00,31.77,170.00
6154,84.00,31.77,170.00
6177,84.00,31.77,170.00
6222,84.00,50.70,170.00
6246,84.00,50.70,170.00
6270,7.77,35.04,170.00
6294,106.81,35.04,170.00
6318,106.81,82.37,170.00
6342,57.58,82.37,171.00
6366,124.75,59.87,171.00
6389,124.75,105.86,171.00
6414,57.45,105.86,171.00
6437,123.31,66.44,171.00
6461,123.31,107.62,171.00
6486,123.31,107.62,171.00
6509,56.56,76.27,171.00
6533,128.69,140.74,171.00
6557,128.69,84.01,171.00
6581,55.05,146.94,171.00
6605,111.99,146.94,171.00
6629,111.99,158.90,171.00
6652,54.24,158.90,171.00
6677,132.67,166.33,171.00
6716,132.67,97.94,171.00
6744,135.31,174.62,171.00
6767,135.31,103.42,171.00
6792,62.54,179.99,171.00
6815,130.39,105.77,172.00
6839,130.39,135.60,172.00
6862,62.52,135.60,172.00
6887,135.33,62.72,172.00
6910,135.33,95.21,172.00
6934,61.14,95.21,172.00
6959,129.07,95.21,172.00
6982,129.07,44.25,172.00
7006,60.85,44.25,172.00
7029,134.31,44.25,172.00
7054,134.31,43.44,172.00
7077,0.00,43.44,172.00
7101,128.60,43.44,172.00
7124,128.60,43.44,172.00
7148,128.60,43.44,172.00
7176,54.76,43.44,172.00
7199,105.59,43.44,172.00
7224,105.59,43.44,172.00
7247,56.87,43.44,172.00
7271,130.78,43.44,172.00
7316,56.17,43.44,172.00
7341,56.17,43.44,172.00
7364,94.42,43.44,172.00
7388,94.42,43.44,172.00
7411,94.42,43.44,172.00
7436,42.66,43.44,172.00
7459,80.12,43.44,172.00
7483,80.12,43.44,172.00
7506,80.12,43.44,172.00
7530,80.12,43.44,172.00
7555,32.27,0.00,173.00
7578,32.27,0.00,173.00
7602,85.41,0.00,173.00
7625,85.41,0.00,173.00
7649,85.41,0.00,173.00
7672,37.75,0.00,173.00
7700,37.75,0.00,173.00
7724,37.75,0.00,173.00
7747,43.41,0.00,173.00
7771,43.41,0.00,173.00
7794,43.41,0.00,173.00
7818,43.41,0.00,173.00
7841,43.41,0.00,173.00
7865,43.41,0.00,173.00
7911,20.30,0.00,173.00
7934,60.03,0.00,173.00
7958,60.03,0.00,173.00
7982,60.03,0.00,173.00
8005,60.03,0.00,173.00
8029,31.81,0.00,173.00
8052,31.81,0.00,173.00
8077,77.60,0.00,173.00
8100,77.60,0.00,173.00
8124,77.60,0.00,173.00
8147,42.38,0.00,174.00
8171,87.00,0.00,173.00
8195,87.00,0.00,173.00
8222,87.00,0.00,173.00
8246,38.00,0.00,173.00
8269,38.00,0.00,174.00
8293,88.74,0.00,174.00
8316,88.74,0.00,174.00
8341,88.74,0.00,173.00
8365,46.38,0.00,174.00
8388,110.60,0.00,174.00
8412,110.60,0.00,174.00
8435,53.88,0.00,174.00
8460,124.46,0.00,174.00
8505,61.55,0.00,174.00
8528,155.22,2.04,174.00
8553,155.22,82.27,174.00
8577,185.19,82.27,174.00
8600,185.19,54.46,174.00
8625,84.67,54.46,174.00
8648,84.67,91.42,174.00
8672,62.77,91.42,174.00
8696,62.77,56.55,174.00
8720,64.56,101.71,174.00
8748,67.85,101.71,174.00
8771,67.85,66.43,174.00
8796,66.51,113.58,174.00
8819,66.51,113.58,174.00
8843,64.80,69.38,174.00
8867,64.80,115.62,174.00
8891,67.49,115.62,174.00
8914,67.49,68.81,174.00
8939,67.37,106.10,174.00
8963,67.37,106.10,174.00
8987,71.09,67.63,174.00
9011,72.14,125.57,174.00
9034,72.14,75.64,174.00
9059,71.36,127.62,174.00
9103,73.75,75.10,175.00
9127,73.75,132.72,175.00
9151,71.93,132.72,175.00
9175,71.93,76.30,175.00
9199,70.40,129.20,175.00
9223,71.10,75.88,175.00
9252,71.10,132.60,175.00
9276,71.91,132.60,175.00
9300,71.91,76.48,175.00
9324,69.77,134.58,175.00
9348,71.78,79.42,175.00
9371,71.78,133.19,175.00
9395,70.61,133.19,175.00
9418,70.61,79.28,175.00
9442,71.62,135.53,175.00
9465,71.62,78.43,175.00
9490,71.96,134.51,175.00
9513,71.96,134.51,175.00
9537,72.31,79.33,175.00
9561,71.81,140.79,175.00
9584,71.81,81.82,175.00
9609,69.28,138.84,175.00
9632,194.70,138.84,175.00
9674,60.82,136.81,175.00
9702,118.22,79.80,175.00
9726,118.22,79.80,176.00
9753,118.22,114.43,176.00
9777,38.66,114.43,176.00
9801,38.66,60.35,176.00
9825,38.66,107.17,176.00
9848,36.91,107.17,176.00
9872,36.91,49.55,176.00
9896,36.91,49.55,176.00
9920,36.91,79.82,176.00
9944,34.51,79.82,176.00
9968,136.12,49.91,176.00
9992,136.12,49.91,176.00
10015,73.89,100.50,176.00
10040,153.72,100.50,176.00
10063,68.39,63.21,176.00
10088,133.86,115.76,176.00
10112,133.86,74.61,176.00
10135,63.23,143.68,176.00
10160,135.23,143.68,176.00
10183,135.23,148.22,176.00
10222,150.57,92.49,176.00
10268,67.51,97.10,176.00
10292,145.60,167.45,176.00
10315,145.60,101.50,176.00
10340,71.26,166.70,176.00
10363,157.60,101.35,176.00
10388,74.72,172.29,176.00
10412,159.37,104.09,176.00
10436,159.37,175.19,176.00
10460,74.72,105.43,176.00
10483,161.39,183.42,176.00
10508,73.84,102.25,176.00
10531,149.70,151.88,176.00
10556,149.70,151.88,176.00
10579,70.36,57.36,176.00
10604,149.64,57.36,176.00
10628,149.64,84.09,176.00
10651,64.07,84.09,177.00
10676,129.22,84.09,176.00
10702,129.22,40.90,177.00
10726,51.65,40.90,177.00
10750,96.96,53.95,177.00
10774,96.96,53.95,177.00
10799,96.96,53.95,177.00
10822,43.98,53.95,177.00
10867,99.88,53.95,176.00
10891,99.88,21.98,177.00
10914,99.88,21.98,177.00
10939,42.93,21.98,177.00
10962,98.62,21.98,177.00
10986,98.62,21.98,177.00
11011,47.42,21.98,177.00
11034,47.42,21.98,177.00
11058,105.28,21.98,177.00
11082,105.28,21.98,177.00
11106,52.72,21.98,177.00
11130,125.27,21.98,177.00
11154,125.27,21.98,177.00
11181,61.84,21.98,177.00
11205,145.91,21.98,177.00
11229,145.91,21.98,177.00
11252,67.19,21.98,177.00
11277,146.77,21.98,177.00
11300,71.55,21.98,178.00
11325,164.19,21.98,177.00
11348,164.19,21.98,177.00
11372,161.85,21.98,177.00
11397,161.85,21.98,178.00
11420,75.47,21.98,178.00
11465,175.07,0.00,177.00
11489,173.25,0.00,178.00
11513,173.25,0.00,178.00
11537,80.97,0.00,178.00
11560,178.61,0.00,178.00
11584,79.54,0.00,178.00
11609,188.68,4.11,178.00
11632,87.09,4.11,178.00
11657,187.08,57.39,177.00
11683,90.31,99.56,178.00
11708,199.47,99.56,177.00
11731,96.56,99.56,178.00
11755,96.56,56.76,177.00
11780,67.68,100.81,177.00
11803,67.68,100.81,177.00
11828,72.26,59.13,177.00
11851,69.39,113.46,178.00
11875,69.39,113.46,177.00
11899,69.39,59.79,177.00
11923,54.45,100.78,178.00
11947,148.28,100.78,178.00
11971,148.28,100.78,178.00
11995,55.22,55.35,178.00
12019,90.68,89.47,178.00
12065,90.68,89.47,178.00
