tempo,rpmEsquerdo,rpmDireito,corrente
4859,62.42,30.83,168.00
4883,141.54,30.83,167.00
4907,141.54,30.83,168.00
4930,68.02,30.83,168.00
4954,153.91,0.00,167.00
5000,181.47,5.80,168.00
5023,181.47,67.17,168.00
5048,190.99,67.17,168.00
5078,190.99,49.11,168.00
5101,90.93,97.16,168.00
5125,90.93,97.16,168.00
5148,64.58,97.16,168.00
5172,66.44,56.92,168.00
5195,66.44,108.23,168.00
5219,65.62,108.23,168.00
5242,65.62,64.76,168.00
5265,65.62,112.80,168.00
5288,47.65,112.80,168.00
5313,121.12,65.04,169.00
5337,121.12,99.27,169.00
5359,121.12,99.27,169.00
5383,121.12,99.27,169.00
5406,37.62,52.08,169.00
5430,37.62,85.07,169.00
5453,47.54,85.07,169.00
5477,47.54,85.07,169.00
5500,47.54,44.95,169.00
5524,47.54,44.95,169.00
5572,47.54,69.09,169.00
5597,47.54,69.09,169.00
5620,47.54,33.75,169.00
5644,47.54,33.75,169.00
5667,47.54,67.14,169.00
5691,47.54,67.14,169.00
5714,47.54,67.14,169.00
5738,47.54,42.99,169.00
5763,47.54,42.99,169.00
5786,47.54,74.12,169.00
5810,47.54,74.12,170.00
5833,47.54,74.12,169.00
5857,47.54,44.43,169.00
5880,47.54,44.43,169.00
5904,47.54,70.54,169.00
5928,47.54,70.54,169.00
5952,47.54,70.54,169.00
5976,47.54,43.15,169.00
5999,47.54,83.01,170.00
6023,5.41,83.01,169.00
6046,129.49,54.15,170.00
6073,129.49,54.15,170.00
6097,138.07,104.08,170.00
6121,138.07,65.13,170.00
6166,54.14,127.55,170.00
6190,110.91,78.86,170.00
6214,110.91,140.29,170.00
6238,53.99,140.29,170.00
6261,124.21,153.41,170.00
6285,124.21,153.41,170.00
6309,124.21,89.96,170.00
6333,129.62,153.31,170.00
6356,129.62,95.92,170.00
6380,129.62,162.76,170.00
6405,59.77,99.75,171.00
6428,126.20,170.03,170.00
6452,126.20,104.11,170.00
6475,58.81,166.89,171.00
6500,137.61,77.09,171.00
6523,137.61,0.00,171.00
6553,56.52,0.00,171.00
6577,118.20,0.00,171.00
6600,118.20,50.03,171.00
6624,49.09,50.03,171.00
6646,49.09,52.27,171.00
6670,95.25,52.27,171.00
6693,95.25,52.27,171.00
6736,41.23,52.27,171.00
6763,87.75,52.27,171.00
6788,87.75,52.27,171.00
6811,87.75,52.27,171.00
6835,41.70,52.27,171.00
6858,41.70,52.27,171.00
6882,92.54,52.27,171.00
6905,92.54,52.27,171.00
6929,92.54,52.27,171.00
6952,43.98,52.27,171.00
6977,98.28,52.27,171.00
7001,98.28,52.27,171.00
7024,98.28,52.27,171.00
7048,45.37,52.27,171.00
7074,105.96,52.27,171.00
7098,105.96,52.27,171.00
7122,48.79,52.27,171.00
7146,103.63,52.27,171.00
7170,103.63,52.27,171.00
7193,103.63,5.50,171.00
7217,54.87,134.00,172.00
7240,142.40,134.00,171.00
7265,71.16,134.00,171.00
7288,164.19,50.78,172.00
7334,193.45,97.92,171.00
7358,193.45,57.42,172.00
7382,90.39,105.54,172.00
7405,90.39,105.54,172.00
7429,67.13,63.18,172.00
7453,67.13,63.18,172.00
7477,67.89,105.50,172.00
7500,68.17,68.76,172.00
7524,68.17,123.58,172.00
7547,69.50,123.58,172.00
7587,71.27,127.68,172.00
7611,71.27,127.68,172.00
7635,66.35,74.81,172.00
7659,66.35,127.10,172.00
7683,66.35,127.10,172.00
7706,54.23,73.40,172.00
7731,133.57,108.76,172.00
7754,133.57,108.76,172.00
7778,53.74,60.60,173.00
7801,87.72,93.18,172.00
7825,87.72,93.18,172.00
7849,87.72,93.18,173.00
7873,87.72,50.61,173.00
7917,87.72,85.33,173.00
7941,22.14,85.33,173.00
7964,22.14,47.11,173.00
7989,22.14,47.11,173.00
8012,22.14,78.35,173.00
8036,22.14,78.35,173.00
8059,22.14,49.25,174.00
8086,22.14,49.25,174.00
8110,22.14,87.10,174.00
8133,22.14,87.10,174.00
8158,22.14,50.23,174.00
8181,22.14,50.23,174.00
8205,22.14,89.98,174.00
8228,22.14,89.98,174.00
8252,22.14,51.37,174.00
8275,22.14,51.37,174.00
8300,22.14,89.57,174.00
8324,22.14,89.57,174.00
8347,22.14,51.56,174.00
8371,22.14,86.28,174.00
8394,22.14,86.28,174.00
8418,6.27,86.28,174.00
8442,6.27,55.68,174.00
8466,57.31,107.54,173.00
8512,138.43,62.94,173.00
8536,138.43,115.71,173.00
8559,56.04,115.71,173.00
8587,116.26,71.98,173.00
8610,116.26,127.20,173.00
8634,54.47,79.82,173.00
8657,121.42,136.84,173.00
8682,121.42,136.84,173.00
8706,59.54,82.72,174.00
8729,132.91,141.00,173.00
8753,132.91,88.00,173.00
8776,62.58,155.93,173.00
8801,128.34,95.82,174.00
8824,128.34,162.20,173.00
8848,61.92,98.66,174.00
8872,141.86,173.77,174.00
8896,141.86,99.00,174.00
8920,65.37,136.04,174.00
8943,138.45,136.04,174.00
8967,138.45,55.27,174.00
8990,66.96,55.27,174.00
9015,145.41,84.41,174.00
9038,145.41,84.41,174.00
9083,99.38,38.62,174.00
9111,99.38,38.62,174.00
9135,99.38,38.62,174.00
9158,44.82,41.31,174.00
9182,86.96,41.31,174.00
9205,86.96,41.31,174.00
9229,86.96,41.31,174.00
9252,86.96,41.31,174.00
9277,36.65,41.31,174.00
9300,91.82,41.31,174.00
9324,91.82,41.31,174.00
9348,91.82,41.31,174.00
9371,38.29,41.31,174.00
9395,38.29,41.31,174.00
9418,76.02,41.31,174.00
9443,76.02,41.31,174.00
9466,76.02,41.31,174.00
9490,41.78,41.31,174.00
9513,95.94,41.31,174.00
9537,95.94,41.31,174.00
9564,95.94,41.31,174.00
9588,47.97,41.31,174.00
9612,107.43,41.31,174.00
9635,107.43,41.31,174.00
9680,52.35,41.31,174.00
9704,119.66,41.31,174.00
9728,119.66,0.00,174.00
9751,58.30,0.00,175.00
9775,132.96,0.00,174.00
9798,132.96,0.00,174.00
9823,167.45,4.52,175.00
9846,167.45,4.52,175.00
9870,80.67,90.12,175.00
9893,181.16,90.12,175.00
9917,90.07,49.87,175.00
9940,90.07,49.87,175.00
9965,64.58,84.60,175.00
9989,64.58,84.60,175.00
10012,67.46,53.29,175.00
10037,67.46,97.68,175.00
10060,68.86,97.68,175.00
10082,68.86,97.68,175.00
10105,67.85,56.07,175.00
10129,67.85,100.96,175.00
10152,56.51,100.96,175.00
10177,134.75,59.10,175.00
10201,134.75,117.65,175.00
10224,54.31,117.65,175.00
10270,78.38,126.84,175.00
10294,78.38,126.84,175.00
10318,78.38,69.50,175.00
10342,78.38,122.01,176.00
10365,78.38,122.01,175.00
10389,78.38,63.78,175.00
10414,78.38,97.55,175.00
10437,78.38,97.55,175.00
10461,78.38,97.55,176.00
10484,78.38,43.62,175.00
10508,78.38,43.62,175.00
10531,78.38,60.74,175.00
10562,78.38,60.74,175.00
10585,78.38,60.74,175.00
10609,78.38,37.37,176.00
10632,78.38,37.37,175.00
10655,78.38,37.37,176.00
10680,78.38,58.09,176.00
10703,78.38,58.09,176.00
10726,78.38,58.09,176.00
10749,78.38,58.09,176.00
10773,78.38,30.74,176.00
