tempo,rpmEsquerdo,rpmDireito,corrente
5522,70.82,129.13,512.00
5545,70.82,129.13,510.00
5570,70.05,77.26,510.00
5594,70.05,132.51,511.00
5618,69.05,71.14,511.00
5642,68.36,71.14,511.00
5666,68.36,70.07,510.00
5690,61.22,70.07,510.00
5714,183.15,70.07,510.00
5738,183.15,70.07,512.00
5763,171.47,30.09,509.00
5786,171.47,30.09,511.00
5811,72.86,30.09,510.00
5834,159.44,30.09,511.00
5859,159.44,30.09,511.00
5882,156.25,30.09,512.00
5906,156.25,30.09,511.00
5931,71.42,30.09,511.00
5954,164.26,30.09,510.00
5982,74.85,30.09,511.00
6005,163.61,30.09,511.00
6030,163.61,30.09,508.00
6053,75.69,30.09,510.00
6078,162.51,30.09,510.00
6124,164.19,30.09,511.00
6148,164.19,30.09,510.00
6171,76.38,30.09,509.00
6196,161.92,30.09,511.00
6219,74.89,30.09,512.00
6244,170.65,30.09,510.00
6267,170.65,30.09,509.00
6292,168.05,5.67,511.00
6316,168.05,5.67,511.00
6340,82.78,5.67,512.00
6364,187.50,53.98,511.00
6388,86.41,75.03,509.00
6412,86.41,75.03,510.00
6436,65.78,75.03,510.00
6460,65.78,45.89,510.00
6484,66.63,89.14,510.00
6511,67.40,89.14,509.00
6536,67.40,89.14,509.00
6559,71.63,52.91,511.00
6584,71.63,101.13,508.00
6607,70.02,101.13,510.00
6632,70.02,57.80,509.00
6657,71.03,105.90,508.00
6680,72.12,105.90,508.00
6727,70.88,55.03,508.00
6751,70.88,82.50,508.00
6775,69.58,82.50,510.00
6799,69.58,82.50,509.00
6823,62.10,82.50,512.00
6847,193.95,82.50,510.00
6872,81.41,82.50,512.00
6895,169.34,20.67,510.00
6920,169.34,20.67,512.00
6943,164.98,20.67,511.00
6968,164.98,20.67,511.00
6991,71.43,20.67,509.00
7036,158.43,20.67,511.00
7060,68.92,20.67,510.00
7085,146.11,20.67,511.00
7108,146.11,20.67,510.00
7133,145.29,20.67,509.00
7156,145.29,20.67,510.00
7181,67.45,20.67,510.00
7204,140.95,20.67,510.00
7229,140.95,20.67,511.00
7252,65.68,20.67,511.00
7277,144.45,20.67,510.00
7318,67.01,7.48,510.00
7346,151.36,60.54,511.00
7370,73.64,124.05,511.00
7394,161.12,124.05,510.00
7418,161.12,64.48,510.00
7443,183.06,105.16,509.00
7467,183.06,105.16,510.00
7490,83.36,64.61,511.00
7515,177.39,103.08,511.00
7542,87.27,103.08,509.00
7566,192.85,57.30,509.00
7590,91.93,110.26,512.00
7614,188.58,110.26,508.00
7639,96.59,64.29,511.00
7662,96.59,64.29,509.00
7687,68.24,97.96,510.00
7710,68.24,70.83,510.00
7735,68.50,118.46,511.00
7759,70.74,118.46,510.00
7783,70.74,73.07,512.00
7808,70.15,121.63,510.00
7831,70.15,121.63,509.00
7856,71.48,72.72,510.00
7879,71.48,125.00,510.00
7924,70.46,74.73,510.00
7949,69.62,127.38,513.00
7973,67.88,74.35,509.00
7997,67.88,128.60,511.00
8025,67.88,128.60,510.00
8048,52.43,72.99,510.00
8073,135.40,109.06,510.00
8096,135.40,109.06,510.00
8121,50.59,57.23,511.00
8144,50.59,57.23,510.00
8169,77.45,89.58,511.00
8193,77.45,89.58,509.00
8217,77.45,44.39,511.00
8241,77.45,44.39,510.00
8264,77.45,65.01,510.00
8289,77.45,65.01,512.00
8312,77.45,65.01,510.00
8337,77.45,65.01,510.00
8360,77.45,34.63,510.00
8384,77.45,34.63,510.00
8409,77.45,48.19,512.00
8432,77.45,48.19,510.00
8457,77.45,48.19,512.00
8480,77.45,48.19,510.00
8525,77.45,35.42,509.00
8553,77.45,59.20,513.00
8577,77.45,59.20,510.00
8601,77.45,59.20,509.00
8625,77.45,37.43,510.00
8648,77.45,37.43,510.00
8673,0.00,64.51,511.00
8696,0.00,64.51,512.00
8720,0.00,64.51,509.00
8744,5.03,41.13,511.00
8768,137.56,41.13,510.00
8793,137.56,87.78,512.00
8816,137.56,87.78,510.00
8841,50.07,59.02,512.00
8864,103.86,120.08,508.00
8889,103.86,120.08,511.00
8912,54.04,75.92,511.00
8937,120.60,136.19,512.00
8961,120.60,81.73,511.00
8985,120.60,145.35,510.00
9009,54.50,87.92,511.00
9036,115.33,148.19,510.00
9060,115.33,89.96,511.00
9102,127.53,145.21,510.00
9129,127.53,92.05,512.00
9154,55.44,156.02,511.00
9178,133.74,94.06,511.00
9201,133.74,156.97,511.00
9226,59.86,96.94,510.00
9250,126.39,162.73,511.00
9274,126.39,98.87,510.00
9298,61.06,164.19,509.00
9322,131.65,98.26,510.00
9347,131.65,163.79,509.00
9371,61.41,99.31,509.00
9395,128.73,168.88,511.00
9419,128.73,99.73,511.00
9443,62.11,168.96,511.00
9467,134.70,95.52,511.00
9491,134.70,164.40,510.00
9519,61.99,98.61,510.00
9543,132.86,169.80,510.00
9567,132.86,101.64,512.00
9591,65.18,169.34,511.00
9615,137.74,99.81,513.00
9639,137.74,168.46,511.00
9663,137.74,93.61,510.00
9709,43.00,79.06,512.00
9734,54.29,125.92,510.00
9757,54.29,125.92,511.00
9782,54.29,69.71,512.00
9805,54.29,110.70,512.00
9830,54.29,110.70,511.00
9853,54.29,60.47,511.00
9877,54.29,60.47,510.00
9902,54.29,109.01,511.00
9925,54.29,109.01,511.00
9950,54.29,62.02,510.00
9973,54.29,101.78,511.00
9997,54.29,101.78,511.00
10024,54.29,60.09,511.00
10049,54.29,108.74,511.00
10073,54.29,108.74,511.00
10096,54.29,63.43,510.00
10121,54.29,108.62,508.00
10145,7.22,108.62,511.00
10169,88.96,68.35,510.00
10193,88.96,119.81,512.00
10217,88.96,119.81,509.00
10242,88.96,74.75,512.00
10265,38.51,130.96,509.00
10310,94.33,138.97,511.00
10334,94.33,138.97,510.00
10358,42.40,141.94,511.00
10383,105.81,141.94,511.00
10406,105.81,87.70,509.00
10430,105.81,151.09,512.00
10455,49.70,90.59,509.00
10479,107.37,150.69,512.00
10507,107.37,91.05,511.00
10530,54.06,158.43,512.00
10555,125.06,95.87,511.00
10578,125.06,170.15,511.00
10603,60.30,100.09,511.00
10628,135.06,169.64,509.00
10651,135.06,96.36,512.00
10676,61.72,168.84,511.00
10699,134.22,101.93,511.00
10724,134.22,168.92,512.00
10748,63.86,99.83,511.00
10772,146.77,171.74,512.00
10797,146.77,97.85,509.00
10820,65.25,171.86,512.00
10845,142.13,100.00,509.00
10868,69.39,169.91,512.00
10914,156.48,169.00,510.00
10939,68.52,99.42,512.00
10962,145.63,168.05,511.00
11002,70.69,176.39,511.00
11026,149.79,101.65,511.00
11051,149.79,181.07,512.00
11075,68.49,104.52,510.00
11099,142.15,183.42,512.00
11123,67.04,87.73,510.00
11147,148.99,87.73,510.00
11171,148.99,103.08,508.00
11195,58.37,103.08,514.00
11219,58.37,55.99,510.00
11244,104.84,55.99,511.00
11268,104.84,75.14,510.00
11291,43.76,75.14,510.00
11316,43.76,75.14,513.00
11339,85.36,75.14,510.00
11364,85.36,26.92,512.00
11387,85.36,26.92,510.00
11412,35.56,26.92,511.00
11437,35.56,26.92,514.00
11463,69.27,26.92,510.00
11508,69.27,26.92,511.00
11533,69.27,26.92,510.00
11556,69.27,26.92,512.00
11581,25.19,26.92,510.00
11604,25.19,26.92,510.00
11628,61.22,26.92,512.00
11653,61.22,26.92,509.00
11676,61.22,26.92,512.00
11701,61.22,26.92,511.00
11724,35.02,26.92,509.00
11749,80.30,26.92,510.00
11772,80.30,26.92,511.00
11797,80.30,26.92,511.00
11821,80.30,26.92,510.00
11845,80.30,6.37,513.00
11869,80.30,6.37,510.00
11893,80.30,63.35,511.00
11917,80.30,84.05,510.00
11941,80.30,84.05,510.00
11968,80.30,84.05,512.00
11993,80.30,37.03,510.00
12016,80.30,37.03,512.00
12041,10.14,67.14,510.00
12064,10.14,67.14,510.00
12110,112.11,47.04,510.00
12135,45.51,94.57,510.00
12158,117.74,94.57,511.00
12183,117.74,57.59,510.00
12207,117.74,57.59,510.00
12231,147.35,116.21,510.00
12256,147.35,77.97,513.00
12280,65.59,135.26,510.00
12304,156.64,135.26,511.00
12328,156.64,150.45,510.00
12353,165.86,150.45,511.00
12377,165.86,91.64,511.00
12401,76.42,152.22,511.00
12425,173.45,91.95,512.00
12452,81.23,155.67,513.00
12477,175.85,97.00,513.00
12500,78.33,161.05,509.00
12525,154.96,94.94,511.00
12550,154.96,160.46,511.00
12573,154.96,85.17,510.00
12598,50.16,130.12,512.00
12622,81.20,130.12,509.00
12646,81.20,68.64,511.00
12670,81.20,106.05,511.00
12717,81.20,57.89,513.00
12740,81.20,57.89,509.00
12765,22.67,91.24,510.00
12788,22.67,91.24,511.00
12813,72.91,52.88,510.00
12836,66.82,99.64,512.00
12861,127.92,99.64,510.00
12884,127.92,68.76,511.00
12909,127.92,133.95,509.00
12939,125.97,84.35,510.00
12962,125.97,152.87,510.00
12987,64.14,94.15,511.00
13010,143.40,171.23,511.00
13035,143.40,99.59,512.00
13059,65.82,173.37,511.00
13083,159.78,99.79,511.00
13107,159.78,172.14,511.00
13130,69.65,100.97,510.00
13155,140.74,165.67,510.00
13178,66.34,101.31,510.00
13203,140.27,170.34,509.00
13227,140.27,100.86,510.00
13251,66.25,168.84,509.00
13293,140.58,167.11,510.00
13322,66.19,99.95,510.00
13345,145.41,165.78,510.00
13370,145.41,97.04,510.00
13394,66.37,159.03,513.00
13421,136.96,159.03,511.00
13446,136.96,72.05,511.00
13470,129.09,107.56,510.00
13494,129.09,107.56,511.00
13518,129.09,51.79,511.00
13542,52.41,51.79,512.00
13566,106.38,61.27,510.00
13590,106.38,61.27,511.00
13615,106.38,61.27,510.00
13638,48.67,61.27,512.00
13663,97.09,61.27,511.00
13686,97.09,61.27,510.00
13710,97.09,21.72,511.00
13734,41.74,21.72,511.00
13758,93.35,21.72,512.00
13783,93.35,21.72,511.00
13806,93.35,21.72,511.00
13831,40.52,21.72,509.00
13854,40.52,21.72,511.00
13903,91.90,21.72,511.00
13928,45.49,21.72,510.00
13952,45.49,21.72,509.00
13976,99.97,21.72,510.00
